Edificio,Area
Edificio I - Academic Building,Aula 1
Edificio I - Academic Building,Aula 2
Edificio I - Academic Building,Aula 3
Edificio I - Academic Building,Aula 4
Edificio I - Academic Building,Aula 5
Edificio I - Academic Building,Aula 6
Edificio I - Academic Building,Aula 7
Edificio I - Academic Building,Auditorio
Edificio I - Academic Building,Aula grande
Edificio I - Academic Building,Baños
Edificio I - Academic Building,Academic department
Edificio I - Academic Building,Student services
Edificio I - Academic Building,Aula 8
Edificio I - Academic Building,Aula 9
Edificio I - Academic Building,Aula 10
Edificio I - Academic Building,Aula 11
Edificio I - Academic Building,Aula 12
Edificio I - Academic Building,Aula 13
Edificio I - Academic Building,Psicología
Edificio I - Academic Building,Casio
Edificio I - Academic Building,Laboratorio de idiomas
Edificio I - Academic Building,Aula de maestros
Edificio I - Academic Building,Administrative department
Edificio II - International Center Lab,"Laboratorio de innovación, diseño y manufactura digital"
Edificio II - International Center Lab,Laboratorio de equipo pesado
Edificio II - International Center Lab,"Centro certificador de innovación, diseño y manufactura digital"
Edificio II - International Center Lab,Baños
Edificio III - Information Center,Sala de conferencias
Edificio III - Information Center,Oficina de rectoría
Edificio III - Information Center,Biblioteca
Edificio III - Information Center,Oficina de finanzas
Edificio III - Information Center,Baños
Edificio III - Information Center,Oficina de administrativos
Edificio III - Information Center,Sala de reuniones
Zonas exteriores,Cancha de voley
Zonas exteriores,Cancha de futbol
Zonas exteriores,Cancha de básquet
Zonas exteriores,Estacionamiento
Zonas exteriores,Cafetería + baños
